1-5,176303.706,2505187.476,22.268,,
1-13,176415.940,2505364.233,22.824,,
1-6,176490.818,2505454.074,23.124,,
1-12,176615.771,2505465.404,22.757,,
1-7,176696.563,2505487.636,22.926,,
1-8,176767.788,2505393.271,22.915,,
1-10,176843.998,2505347.873,23.127,,
1-9,176826.056,2505220.456,22.847,,
1-2,176730.125,2505133.707,22.782,,
1-1,176706.786,2505081.788,22.725,,
1-11,176602.745,2505118.985,22.626,,
1-4,176483.915,2505141.291,22.569,,
1-3,176515.064,2505227.153,22.689,,
s958,177354.075,2510321.356,36.758,,
